name,e,f_failed,r_failed,v_failed,nc_failed
C/2003 A4 (SOHO),1.0,3,3,1,0
C/2003 K8 (SOHO),1.0,1,1,1,0
C/2003 K10 (SOHO),1.0,3,23,1,0
C/2002 U5 (SOHO),1.0,3,23,1,0
C/2002 X15 (SOHO),1.0,1,1,1,0
C/2002 U4 (SOHO),1.0,1,1,1,0
C/2002 X12 (SOHO),1.0,1,1,1,0
C/2003 K13 (SOHO),1.0,1,1,1,0
C/2002 U3 (SOHO),1.0,1,1,1,0
C/2002 X13 (SOHO),1.0,3,23,1,0
C/2002 X14 (SOHO),1.0,5,53,1,0
C/2002 U1 (SOHO),1.0,3,13,1,0
C/2002 X16 (SOHO),1.0,1,1,1,0
C/2002 Y4 (SOHO),1.0,3,1,1,0
C/2003 K12 (SOHO),1.0,1,0,1,0
C/2003 M1 (SOHO),1.0,7,387,1,0
C/2003 K11 (SOHO),1.0,3,23,1,0
C/2002 Y2 (SOHO),1.0,1,0,0,0
C/2007 M7 (SOHO),1.0,1,1,1,0
C/2002 T3 (SOHO),1.0,3,1,1,0
C/2002 Y3 (SOHO),1.0,7,257,1,0
C/2002 W17 (SOHO),1.0,3,5,1,0
C/2002 H3 (SOHO),1.0,1,1,1,0
C/2002 L8 (SOHO),1.0,1,1,1,0
C/2000 L6 (SOHO),1.0,1,0,1,0
C/2000 K7 (SOHO),1.0,1,1,1,0
C/2000 K8 (SOHO),1.0,1,1,1,0
C/2000 L1 (SOHO),1.0,1,1,1,0
C/2000 L2 (SOHO),1.0,3,5,1,0
C/2000 L3 (SOHO),1.0,1,1,1,0
C/2000 L4 (SOHO),1.0,3,7,1,0
C/2000 L5 (SOHO),1.0,1,1,1,0
C/2000 M1 (SOHO),1.0,3,1,1,0
C/2000 N1 (SOHO),1.0,7,257,1,0
C/2000 M2 (SOHO),1.0,1,0,1,0
C/2000 M3 (SOHO),1.0,1,1,1,0
C/2000 M4 (SOHO),1.0,3,1,1,0
C/2000 M5 (SOHO),1.0,1,1,1,0
C/2000 M6 (SOHO),1.0,3,23,1,0
C/2000 M7 (SOHO),1.0,3,1,1,0
C/2000 M8 (SOHO),1.0,3,23,1,0
C/2000 K6 (SOHO),1.0,1,1,1,0
C/2000 K5 (SOHO),1.0,3,1,1,0
C/2000 K4 (SOHO),1.0,3,1,1,0
C/2000 K3 (SOHO),1.0,1,1,1,0
C/2000 G3 (SOHO),1.0,1,1,1,0
C/2000 H2 (SOHO),1.0,3,1,1,0
C/2000 H3 (SOHO),1.0,3,23,1,0
C/2000 H4 (SOHO),1.0,7,257,1,0
C/2000 H5 (SOHO),1.0,3,23,1,0
C/2000 H6 (SOHO),1.0,1,1,1,0
C/2000 H7 (SOHO),1.0,1,1,1,0
C/2007 Q5 (SOHO),1.0,3,13,1,0
C/2000 J3 (SOHO),1.0,1,1,1,0
C/2000 J4 (SOHO),1.0,3,7,1,0
C/2000 J5 (SOHO),1.0,1,0,1,0
C/2000 J6 (SOHO),1.0,1,1,1,0
C/2000 J7 (SOHO),1.0,3,1,1,0
C/2000 M9 (SOHO),1.0,1,1,1,0
C/2000 N2 (SOHO),1.0,1,1,1,0
C/2002 L7 (SOHO),1.0,1,1,1,0
C/2000 X3 (SOHO),1.0,3,5,1,0
C/2000 W2 (SOHO),1.0,1,1,1,0
C/2000 W3 (SOHO),1.0,1,1,1,0
C/2000 W4 (SOHO),1.0,1,1,1,0
C/2000 W5 (SOHO),1.0,7,257,1,0
C/2000 X1 (SOHO),1.0,3,23,1,0
C/2000 X2 (SOHO),1.0,3,1,1,0
C/2000 X4 (SOHO),1.0,3,13,1,0
C/2000 N3 (SOHO),1.0,3,23,1,0
C/2000 X5 (SOHO),1.0,3,1,1,0
C/2000 X6 (SOHO),1.0,3,1,1,0
C/2000 X7 (SOHO),1.0,3,13,1,0
C/2000 X8 (SOHO),1.0,1,1,1,0
C/2000 Y4 (SOHO),1.0,1,1,1,0
C/2000 Y5 (SOHO),1.0,1,1,1,0
C/2000 V3 (SOHO),1.0,1,1,1,0
C/2000 V2 (SOHO),1.0,1,1,1,0
C/2000 V1 (SOHO),1.0,3,5,1,0
C/2000 U4 (SOHO),1.0,3,23,1,0
C/2000 P1 (SOHO),1.0,7,257,1,0
C/2000 P2 (SOHO),1.0,3,23,1,0
C/2000 Q1 (SOHO),1.0,1,0,0,0
C/2007 Q4 (SOHO),1.0,7,257,1,0
C/2000 S6 (SOHO),1.0,3,23,1,0
C/2000 T1 (SOHO),1.0,1,1,1,0
C/2000 T3 (SOHO),1.0,1,1,1,0
C/2000 T4 (SOHO),1.0,1,1,1,0
C/2000 T5 (SOHO),1.0,3,5,1,0
C/2000 T6 (SOHO),1.0,7,257,1,0
C/2000 U1 (SOHO),1.0,1,1,1,0
C/2000 U2 (SOHO),1.0,1,1,1,0
C/2000 U3 (SOHO),1.0,1,0,1,0
C/2007 Q6 (SOHO),1.0,7,257,1,0
C/2000 F3 (SOHO),1.0,1,0,1,0
C/2000 F2 (SOHO),1.0,1,1,1,0
C/1999 P6 (SOHO),1.0,1,0,0,0
C/1999 O2 (SOHO),1.0,1,1,1,0
C/1999 O3 (SOHO),1.0,1,0,1,0
C/1999 O4 (SOHO),1.0,1,0,0,0
C/1999 P2 (SOHO),1.0,1,0,0,0
C/1999 P3 (SOHO),1.0,1,1,1,0
C/1999 P4 (SOHO),1.0,3,23,1,0
C/1999 P5 (SOHO),1.0,1,1,1,0
C/2000 F1 (SOHO),1.0,3,19,1,0
C/1999 P8 (SOHO),1.0,1,0,0,0
C/1999 P9 (SOHO),1.0,1,0,0,0
C/1999 Q1 (SOHO),1.0,1,1,1,0
C/1999 Q2 (SOHO),1.0,3,23,1,0
C/1999 Q3 (SOHO),1.0,1,0,1,0
C/1999 R3 (SOHO),1.0,1,1,1,0
C/1999 R4 (SOHO),1.0,1,1,1,0
C/1999 O1 (SOHO),1.0,1,1,1,0
C/1999 N6 (SOHO),1.0,1,0,0,0
C/1999 N5 (SOHO),1.0,1,0,0,0
C/1999 N3 (SOHO),1.0,3,1,1,0
C/1999 K15 (SOHO),1.0,1,1,1,0
C/1999 K16 (SOHO),1.0,1,0,0,0
C/1999 K17 (SOHO),1.0,1,1,1,0
C/1999 L1 (SOHO),1.0,1,1,1,0
C/1999 L4 (SOHO),1.0,1,1,1,0
C/1999 L5 (SOHO),1.0,3,1,1,0
C/1999 L6 (SOHO),1.0,3,23,1,0
C/1999 L7 (SOHO),1.0,1,1,1,0
C/1999 L8 (SOHO),1.0,1,1,1,0
C/1999 L9 (SOHO),1.0,1,0,0,0
C/1999 M1 (SOHO),1.0,3,1,1,0
C/1999 M2 (SOHO),1.0,7,257,1,0
C/1999 M4 (SOHO),1.0,1,0,1,0
C/1999 N1 (SOHO),1.0,1,0,1,0
C/2007 R7 (SOHO),1.0,1,0,1,0
C/1999 S1 (SOHO),1.0,3,23,1,0
C/2007 R6 (SOHO),1.0,3,3,1,0
C/1999 Y3 (SOHO),1.0,3,5,1,0
C/2000 B1 (SOHO),1.0,1,1,1,0
C/2000 B5 (SOHO),1.0,1,1,1,0
C/2000 B6 (SOHO),1.0,1,0,1,0
C/2000 B7 (SOHO),1.0,3,23,1,0
C/2000 C2 (SOHO),1.0,1,0,0,0
C/2000 C3 (SOHO),1.0,1,0,0,0
C/2000 C4 (SOHO),1.0,1,0,0,0
C/2000 C5 (SOHO),1.0,1,0,0,0
C/2000 C6 (SOHO),1.0,1,1,1,0
C/2000 D1 (SOHO),1.0,1,1,1,0
C/2007 Q7 (SOHO),1.0,1,0,1,0
C/2000 D3 (SOHO),1.0,3,3,1,0
C/2000 E1 (SOHO),1.0,3,23,1,0
C/2000 A2 (SOHO),1.0,3,7,1,0
C/1999 Y2 (SOHO),1.0,1,0,0,0
C/1999 S5 (SOHO),1.0,3,23,1,0
C/2007 Q8 (SOHO),1.0,3,23,1,0
C/1999 S6 (SOHO),1.0,3,7,1,0
C/1999 S7 (SOHO),1.0,1,1,1,0
C/1999 U5 (SOHO),1.0,1,1,1,0
C/1999 U6 (SOHO),1.0,3,1,1,0
C/1999 U7 (SOHO),1.0,3,23,1,0
C/1999 U8 (SOHO),1.0,1,1,1,0
C/1999 U9 (SOHO),1.0,1,1,1,0
C/1999 V2 (SOHO),1.0,7,257,1,0
C/1999 V3 (SOHO),1.0,3,5,1,0
C/1999 V4 (SOHO),1.0,1,1,1,0
C/1999 V5 (SOHO),1.0,1,1,1,0
C/1999 W1 (SOHO),1.0,1,0,1,0
C/1999 W2 (SOHO),1.0,3,1,1,0
C/1999 X2 (SOHO),1.0,3,13,1,0
C/2007 Q9 (SOHO),1.0,1,1,1,0
C/2000 Y6 (SOHO),1.0,1,0,0,0
C/2000 Y7 (SOHO),1.0,1,0,0,0
C/2000 Y8 (SOHO),1.0,3,19,1,0
C/2001 Y4 (SOHO),1.0,1,1,1,0
C/2001 X6 (SOHO),1.0,1,0,1,0
C/2001 X7 (SOHO),1.0,1,1,1,0
C/2001 X9 (SOHO),1.0,1,1,1,0
C/2001 Y2 (SOHO),1.0,1,1,1,0
C/2001 Y3 (SOHO),1.0,1,0,1,0
C/2001 Y5 (SOHO),1.0,1,1,1,0
C/2001 T7 (SOHO),1.0,3,23,1,0
C/2007 N6 (SOHO),1.0,1,1,1,0
C/2007 N5 (SOHO),1.0,3,23,1,0
C/2002 A4 (SOHO),1.0,1,0,0,0
C/2007 N4 (SOHO),1.0,1,1,1,0
C/2002 C3 (SOHO),1.0,1,0,1,0
C/2002 C4 (SOHO),1.0,1,1,1,0
C/2002 D1 (SOHO),1.0,1,1,1,0
C/2001 X5 (SOHO),1.0,3,13,1,0
C/2001 X4 (SOHO),1.0,7,257,1,0
C/2001 W4 (SOHO),1.0,3,5,1,0
C/2001 W3 (SOHO),1.0,3,13,1,0
C/2001 U2 (SOHO),1.0,3,7,1,0
C/2001 U3 (SOHO),1.0,3,23,1,0
C/2001 U4 (SOHO),1.0,1,1,1,0
C/2001 U5 (SOHO),1.0,1,0,1,0
C/2001 U7 (SOHO),1.0,3,7,1,0
C/2001 U8 (SOHO),1.0,7,257,1,0
C/2001 U9 (SOHO),1.0,3,23,1,0
C/2001 U10 (SOHO),1.0,3,23,1,0
C/2001 V1 (SOHO),1.0,1,1,1,0
C/2001 V2 (SOHO),1.0,3,1,1,0
